hostal name,gender,Address,month price,par day price
,,,,
,,,,
,,,,
,,,,
,,,,
Pura PG,,"#104,1st Floor,5th Cross,10th A Main Road, Hoysala Nagar,2nd Stage, Indira Nagar, Bengaluru",5000/Month,
Royal International PG For Gents,Boys,"H No-65,4th Cross road, National Village Complex, Koramangala, Bengaluru",5000/Month,
Veerabramhendra Swamy PG For Gents,Boys,"#31, Chikkadugodi Main Road, Koramangala, Bengaluru",4500/Month,200/Day
A M Luxury PG,Boys,"#903,Opp Indian Oil Petrol Bunk, Koramangala 6th Block, Koramangala, Bengaluru",4500/Month,350/Day
Sri Srinivasa PG,,"20 K Cross, Chandra reddy Layout, Ezipura, Koramangala, Bengaluru",5000/Month,350/Day
OM SHIVA SAI PG,Boys,"6Block, patel narayanareddy layout, venkateswara layout, koramangala, Bengaluru",4800/Month,
SNS Gents PG,Boys,"H No 148, 20th L Cross, Ezipura, Koramangala, Bengaluru",4500/Month,250/Day
Shashank PG Gents,Boys,"#7/2, 3rd cross venkappa garden, venkateswara layout, koramangala, Bengaluru",5000/Month,300/Day
SNS Gents PG,Boys,"H No 13, 20th L Cross Rama Temple Road, Ezipura, Koramangala, Bengaluru",4500/Month,250/Day
Grexter Victoria Women,,"Building #15, Victoria, 7 Venkappa Garden, 3rd Cross Road Ejipura, , Bengaluru",9500/Month,
Grexter Columbus Women,,"Building #3071, 11th Main Road, HAL 2nd Stage, Indiranagar, , Bengaluru",9500/Month,
MODERN DELUX LUXURY PG-4,Boys,"#16, near ashoka residancy, 6th block,patel narayana reddy layout, 3rd cross, koramangala, Bengaluru",5000/Month,300/Day
Sai Eswar Luxury PG,,"# 19 2 nd Cross 3 rd Main, Aswini Layout, Ejipura, Bengaluru",5500/Month,300/Day
Beena PG For Girls,,"175, 31 st Cross ,11 Th Main, Jaya Nagar, Bengaluru",6500/Month,500/Day
Sri Ram Sai PG,,"jp nagar, 4 block, j p nagar, Bengaluru",4700/Month,400/Day
Sri Sai PG,,"#1/15,1st Cross, Chikka Adugodi, Tavarekere Road, Bengaluru",5000/Month,300/Day
Abode Gents PG,Boys,"#03,2nd Main, Thavarakeri Main Road, Koramangala, Bengaluru",5000/Month,400/Day
Nes PG For Ladies,,"912, 32 nd Cross 16 th Main ,, Jaya Nagar, Bengaluru",4500/Month,350/Day
Sri Sai Balaji PG,,"H No 45, Aswini Layout, 27th mainroad, 4th cross, Ezipura, Koramangala, Bengaluru",5000/Month,300/Day
Sri Thirumala PG,,"#47, 27th Main ,6th Cross, VGS Layout, Ejipura, Bengaluru",5000/Month,300/Day
Sri Sai Balaji PG,,"#19, 27th Main,6th Cross,VGS Layout, Ejipura, Bengaluru",5000/Month,300/Day
Sri Venkata Sai Ganesh PG,Boys,"#20,2nd Main, Thavarekere Main Road, Koramangala, Bengaluru",4500/Month,300/Day
Land Mark PG,Boys,"#52, 27th Main,6th Cross,Ashwini Layout, Ejipura, Bengaluru",5000/Month,300/Day
Raghavendra Gents PG,Boys,"H No 13, 2nd cross, Jai Bhim Nagar, BTM Layout, Bengaluru",4500/Month,250/Day
