Stream,Physics,Chemistry,Biology,English,ComputerScience,Mathematics,Accountancy,BusinessStudies,Economics,History,Geography,PoliticalScience,Sociology,Interest_Tech,Interest_Entrepreneurship,Interest_Leadership,Interest_Innovation,Interest_CriticalThinking,Interest_Research,Interest_ComputerSkill,Interest_HardwareSkill,Interest_Food,Interest_Creativity,PositiveThinking,Participated_Hackathon,Participated_Olympiad,Participated_Kabaddi,Participated_KhoKho,Participated_Cricket,CareerOption
Science_PCB,82,56,58,77,78,,,,,,,,,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,Software Developer
Commerce,,,,85,,65,53,100,85,,,,,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,Software Developer
Science_PCM,65,57,,85,83,73,,,,,,,,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,Software Developer
Science_PCB,66,74,67,92,98,,,,,,,,,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,Entrepreneur
Science_PCM,84,54,,76,77,57,,,,,,,,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,Athlete
Commerce,,,,82,,57,75,57,85,,,,,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,Athlete
Arts,,,,57,,,,,,67,74,57,97,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,Doctor
Commerce,,,,50,,73,80,76,70,,,,,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,Scientist
Science_PCM,56,68,,83,97,61,,,,,,,,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,Artist
Commerce,,,,83,,50,92,64,87,,,,,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,Teacher
Arts,,,,63,,,,,,96,71,68,76,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,Software Developer
Commerce,,,,92,,84,81,82,65,,,,,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,Chartered Accountant
Commerce,,,,100,,50,55,95,84,,,,,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,Entrepreneur
Arts,,,,91,,,,,,68,50,94,88,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,Teacher
Science_PCB,85,57,68,60,85,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,Chartered Accountant
Commerce,,,,60,,99,83,62,50,,,,,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,Doctor
Commerce,,,,97,,58,94,93,96,,,,,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,Athlete
Arts,,,,97,,,,,,54,95,74,55,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,Doctor
Science_PCM,64,63,,71,56,53,,,,,,,,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,Teacher
Arts,,,,58,,,,,,71,75,77,87,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,Politician
Commerce,,,,94,,58,70,73,74,,,,,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,Engineer
Arts,,,,52,,,,,,87,85,85,66,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,Athlete
Commerce,,,,99,,62,71,89,83,,,,,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,Doctor
Arts,,,,66,,,,,,96,78,64,55,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,Athlete
Commerce,,,,95,,69,67,74,82,,,,,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,Engineer
Commerce,,,,71,,69,91,98,53,,,,,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,Scientist
Science_PCB,93,66,96,100,83,,,,,,,,,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,Athlete
Science_PCB,80,60,90,93,56,,,,,,,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Software Developer
Arts,,,,60,,,,,,51,82,60,100,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,Software Developer
Science_PCM,87,100,,54,90,65,,,,,,,,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,Artist
Arts,,,,89,,,,,,83,70,100,99,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,Engineer
Arts,,,,55,,,,,,94,84,59,90,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,Software Developer
Science_PCM,53,80,,92,54,80,,,,,,,,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,Artist
Arts,,,,64,,,,,,58,72,87,71,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,Politician
Arts,,,,86,,,,,,97,52,61,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Athlete
Science_PCM,67,95,,65,84,52,,,,,,,,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,Artist
Commerce,,,,96,,65,86,85,61,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Doctor
Science_PCB,73,55,71,76,59,,,,,,,,,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,Doctor
